,737,,D80,,D82,
Component,Weight (lb),% of Total,Weight (lb),% of Total,Weight (lb),% of Total,Weight (lb),% of Total
Wempty,88776.2,0.507,81061,0.508,71557,0.534,111992.997671,0.744787883552
Wpay,38715.5,0.221,38715.5,0.243,38715.5,0.289,38983.089431,0.259249535913
Wfuel,47486.9,0.271,39707.9,0.249,23611.9,0.176,38375.9867664,0.255212116448
(max),44168.8,0.252,44962,0.282,35677.2,0.266,38375.9867664,0.255212116448
WMTO,174978.5,1,159484.4,1,133884.4,1,150368.984437,1.0
Whpesys,1749.8,0.01,1594.8,0.01,1338.8,0.01,0.0,0.0
Wlgnose,1924.8,0.011,1754.3,0.011,1004.1,0.007,0.0,0.0
Wlgmain,7699.1,0.044,5980.7,0.038,4016.5,0.03,0.0,0.0
Wtotadd,11373.6,0.065,9329.8,0.058,6359.5,0.047,0.0,0.0
Wfix,3001.2,0.017,3001.2,0.019,3001.2,0.022,3000.0,0.0199509227999
Wapu,1355,0.008,1355,0.008,1355,0.01,1364.40813009,0.00907373375695
Wpadd,13550.4,0.077,13550.4,0.085,13550.4,0.101,15593.2357724,0.103699814365
Wshell,4715.8,0.027,4445.9,0.028,5623.8,0.042,3762.8133496,0.0250238662161
Wcone,1036.6,0.006,809,0.005,314.4,0.002,382.508138062,0.0025437967776
Whbend,2021.3,0.012,342.7,0.002,812,0.006,4346.39504035,0.0289048639693
Wvbend,1210.5,0.007,523.3,0.003,21.2,0,491.998596752,0.00327194200715
Wwindow,2533.6,0.014,625.9,0.004,625.9,0.005,594.085733259,0.00395085286692
Winsul,1074.6,0.006,1024.4,0.006,1024.4,0.008,837.111303271,0.00556704766216
Wfloor,2654.6,0.015,1943.6,0.012,2107.7,0.016,1876.12518073,0.0124768095479
Wseat,3871.5,0.022,3871.5,0.024,3871.5,0.029,3898.30894311,0.0259249535913
Wfuse,37025.2,0.212,31493.1,0.197,32265.4,0.241,35764.4820496,0.237844806783
Wcap,13819.7,0.079,13118.8,0.082,12380.8,0.092,0.0,0.0
Wweb,641.9,0.004,570.1,0.004,520.1,0.004,378.40025708,0.00251647810548
Wflap,2892.3,0.017,2737.8,0.017,2580.2,0.019,0.0,0.0
Wslat,1446.2,0.008,1368.9,0.009,0,0,0.0,0.0
Waile,578.5,0.003,547.6,0.003,516,0.004,0.0,0.0
Wlete,1446.2,0.008,1368.9,0.009,1290.1,0.01,0.0,0.0
Wribs,2169.3,0.012,2053.3,0.013,1935.1,0.014,0.0,0.0
Wspoi,289.2,0.002,273.8,0.002,258,0.002,0.0,0.0
Wwatt,433.9,0.002,410.7,0.003,387,0.003,0.0,0.0
Wwing,23717.2,0.136,22449.8,0.141,19867.3,0.148,23391.8541395,0.155563025361
Wstrut,0,0,0,,0,0,0.0,0.0
Whtail,2616.1,0.015,999.4,0.006,1505.5,0.011,276.919686408,0.0018416010951
Wvtail,1764.1,0.01,1688.9,0.011,374,0.003,792.796492486,0.0052723405392
Webare,7870.7,0.045,9822.7,0.062,8694.3,0.065,0.0,0.0
Weadd,787.1,0.004,982.3,0.006,869.4,0.006,0.0,0.0
Wnace,2505.8,0.014,2922.3,0.018,1089,0.008,0.0,0.0
Wpylon,1116.4,0.006,1372.7,0.009,532.6,0.004,0.0,0.0
Weng,12280,0.07,15100,0.095,11185.4,0.084,4986.34463458,0.0331607256193
